Id_Faixa;Nome_Musica;Nome_Album;Nomes_Artistas;Popularidade (0-100);Duração (min)
7qiZfU4dY1lWllzX7mPBI3;Shape of You;÷ (Deluxe);Ed Sheeran;88;03:53
4kbj5MwxO1bq9wjT5g9HaA;Shut Up and Dance;TALKING IS HARD;WALK THE MOON;83;03:19
3NuK5xMlSlB6K2Qp16zf3h;Solo ;What Is Love? (Deluxe Edition);Clean Bandit,Demi Lovato;72;03:42
1qDrWA6lyx8cLECdZE7TV7;Somebody That I Used To Know;Making Mirrors;Gotye,Kimbra;81;04:04
09CtPGIpYB4BrO8qb1RGsF;Sorry;Purpose (Deluxe);Justin Bieber;85;03:20
0GNI8K3VATWBABQFAzBAYe;Stay;Unapologetic (Deluxe);Rihanna,Mikky Ekko;75;04:00
0qOnSQQF0yzuPWsXrQ9paz;Stereo Hearts ;The Papercut Chronicles II;Gym Class Heroes,Adam Levine;82;03:30
3CRDbSIZ4r5MsZ0YwxuEkn;Stressed Out;Blurryface;Twenty One Pilots;85;03:22
1nInOsHbtotAmEOQhtvnzP;Stronger (What Doesn't Kill You);Stronger (Deluxe Version);Kelly Clarkson;75;03:41
6YUTL4dYpB9xZO5qExPf05;Summer;Motion;Calvin Harris;83;03:42
3BJe4B8zGnqEdQPMvfVjuS;Summertime Sadness;Born To Die - The Paradise Edition;Lana Del Rey;84;04:25
37sINbJZcFdHFAsVNsPq1i;Superheroes;No Sound Without Silence;The Script;77;04:05
2QjOHCTQ1Jl3zawyYOpxh6;Sweater Weather;I Love You.;The Neighbourhood;91;04:00
7DnAm9FOTWE3cUvso43HhI;Sweet but Psycho;Heaven & Hell;Ava Max;81;03:07
24LS4lQShWyixJ0ZrJXfJ5;Sweet Nothing ;18 Months;Calvin Harris,Florence Welch;77;03:32
0ct6r3EGTcMLPtrXHDvVjc;The Nights;The Days / Nights;Avicii;84;02:56
7JJmb5XwzOO8jgpou264Ml;There's Nothing Holdin' Me Back;Illuminate (Deluxe);Shawn Mendes;87;03:19
2vlDrKpOC0eSTqTDRcbYyw;This Is What You Came For;96 Months;Calvin Harris,Rihanna;79;03:41
6CjtS2JZH9RkDz5UVInsa9;Thrift Shop ;The Heist;Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Wanz;77;03:55
0HPD5WQqrq7wPWR7P7Dw1i;TiK ToK;Animal (Expanded Edition);Kesha;84;03:19
3cHyrEgdyYRjgJKSOiOtcS;Timber;Global Warming: Meltdown (Deluxe Version);Pitbull,Kesha;83;03:24
2bJvI42r8EF3wxjOuDav4r;Time of Our Lives;Globalization;Pitbull,Ne-Yo;84;03:49
4J7CKHCF3mdL4diUsmW8lq;Under Control ;Motion;Calvin Harris,Alesso,Hurts;74;03:04
6rrKbzJGGDlSZgLphopS49;Unstoppable;ATLAS;The Score;69;03:12
1mea3bSkSGXuIRvnydlB5b;Viva La Vida;Viva La Vida or Death and All His Friends;Coldplay;87;04:02
0nrRP2bk19rLc0orkWPQk2;Wake Me Up;True;Avicii;85;04:07
3bC1ahPIYt1btJzSSEyyrF;Whistle;Wild Ones;Flo Rida;78;03:44
